Interview code,How old is the restaurant? (years),What is the proportion of foreigners in your restaurant?,What is the proportion of locals in your restaurant?,Do you sell shark or ray meat?,milk shark ,thresher shark,mako shark (including long and short fin),tiger shark ,blue shark ,Beach Road,Hotel 
R001,N/A,0.95,0.05,0,0,0,0,0,0,1,0
R002,5,0.8,0.2,0,0,0,0,0,0,1,0
R003,0.25,0.5,0.5,0,0,0,0,0,0,0,0
R004,33,0.12,0.88,0,0,0,0,0,0,1,0
R005,26,0.5,0.5,1,1,0,0,0,0,1,0
R006,10,0.5,0.5,1,1,0,0,0,0,1,0
R007,27,0.95,0.05,0,0,0,0,0,0,1,0
R008,0.17,0.7,0.3,0,0,0,0,0,0,1,0
R009,23,0.5,0.5,1,1,0,0,0,0,1,0
R010,0.84,0.75,0.25,0,0,0,0,0,0,1,0
R011,6,0.88,0.12,1,1,1,1,0,0,1,0
R012,7,0.95,0.05,0,0,0,0,0,0,1,0
R013,30,0.9,0.1,1,1,0,0,0,0,1,1
R014,25,0.99,0.01,1,0,0,0,0,0,1,0
R015,23,0.5,0.5,0,0,0,0,0,0,1,0
R016,27,0.5,0.5,1,1,0,0,0,0,1,1
R017,44,0.8,0.2,0,0,0,0,0,0,1,0
R018,1,0.5,0.5,1,0,0,0,1,0,1,0
R019,2,0.5,0.5,0,0,0,0,0,0,1,0
R020,9,0.9,0.1,1,1,0,0,0,0,1,0
R021,7,0.5,0.5,0,0,0,0,0,0,1,0
R022,5,0.5,0.5,0,0,0,0,0,0,1,0
R023,0.67,0.3,0.7,0,0,0,0,0,0,0,0
R024,30,0.5,0.5,1,0,0,0,0,0,1,0
R025,20,0.5,0.5,0,0,0,0,0,0,1,0
R026,3,0.95,0.05,0,0,0,0,0,0,1,0
R027,30,0.75,0.25,0,0,0,0,0,0,1,0
R028,0.08,0.5,0.5,0,0,0,0,0,0,1,0
R029,30,0.8,0.2,0,0,0,0,0,0,1,0
R030,5,0.5,0.5,0,0,0,0,0,0,1,0
R031,12,0.9,0.1,1,1,0,1,0,1,1,0
R032,5,0.6,0.4,0,0,0,0,0,0,1,0
R033,15,0.6,0.4,1,1,0,0,0,0,1,0
R034,7,0.6,0.4,1,0,0,0,0,0,1,0
R035,7,0.9,0.1,0,0,0,0,0,0,1,0
R036,1,1,0,0,0,0,0,0,0,1,0
R037,16,0.88,0.12,0,0,0,0,0,0,1,1
R038,47,0.68,0.32,0,0,0,0,0,0,1,0
R039,0.17,0.85,0.15,0,0,0,0,0,0,1,0
R040,0.17,0.5,0.5,0,0,0,0,0,0,1,0
R041,1,N/A,N/A,0,0,0,0,0,0,1,0
R042,0.2,0.1,0.9,0,0,0,0,0,0,0,0
R043,1,0.2,0.8,0,0,0,0,0,0,0,0
R044,5,0,1,0,0,0,0,0,0,0,0
R045,20,0.1,0.9,0,0,0,0,0,0,0,0
R046,4.5,0.8,0.2,0,0,0,0,0,0,0,0
R047,5.5,0.1,0.9,0,0,0,0,0,0,1,0
R048,20,1,0,0,0,0,0,0,0,1,0
R049,1,0.95,0.05,1,0,1,0,0,0,1,0
R050,0.25,0.6,0.4,0,0,0,0,0,0,1,0
R051,6,0.99,0.01,0,0,0,0,0,0,0,0
R052,9,0.15,0.85,0,0,0,0,0,0,0,0
R053,N/A,0.5,0.5,0,0,0,0,0,0,1,0
R054,N/A,0.05,0.95,0,0,0,0,0,0,1,0
R055,0.25,0,1,0,0,0,0,0,0,0,0
R056,N/A,0,1,0,0,0,0,0,0,0,0
R057,N/A,0,1,0,0,0,0,0,0,0,0
R058,1,0.1,0.9,0,0,0,0,0,0,0,0
R059,30,0.1,0.9,0,0,0,0,0,0,0,0
R060,5,0.05,0.95,0,0,0,0,0,0,0,0
R061,N/A,0,1,0,0,0,0,0,0,0,0
R062,12,0.18,0.82,0,0,0,0,0,0,0,1
R063,N/A,N/A,N/A,0,0,0,0,0,0,0,0
R064,N/A,N/A,N/A,0,0,0,0,0,0,0,0
R065,3,N/A,0,0,0,0,0,0,0,1,0
R066,15,0,1,0,0,0,0,0,0,0,1
R067,3,0.1,0.9,0,0,0,0,0,0,0,0
R068,5,0.4,0.6,0,0,0,0,0,0,0,0
R069,1,0.1,0.9,0,0,0,0,0,0,0,0
R070,5,0.8,0.2,0,0,0,0,0,0,1,1
R071,25,0.8,0.2,0,0,0,0,0,0,1,1
R072,30,N/A,N/A,0,0,0,0,0,0,1,1
R073,0.34,0.5,0.5,0,0,0,0,0,0,1,0
R074,40,N/A,N/A,0,0,0,0,0,0,1,1
R075,5,0.6,0.4,0,0,0,0,0,0,0,1
R076,N/A,0.6,0.4,0,0,0,0,0,0,1,0
R077,N/A,0.25,0.75,0,0,0,0,0,0,1,1
R078,N/A,0.5,0.5,0,0,0,0,0,0,1,0
